school,club_name,category,notes
nycu,友聲合唱團,音樂戲劇性社團,光復校區
nycu,布袋戲社,音樂戲劇性社團,光復校區
nycu,臺南地區校友會,綜合性社團,光復校區
nycu,北區校友會,綜合性社團,光復校區
nycu,陸生聯誼會,任務性社團,光復校區
nycu,越南學生協會,任務性社團,光復校區
nycu,鋼琴社（交大校區）,音樂戲劇性社團,光復校區
nycu,壘球社,體能性社團,光復校區；英文名 Softball Club
nycu,音樂遊戲社,康樂性社團,光復校區
nycu,象棋社,康樂性社團,光復校區
nycu,橋藝社(交大校區),康樂性社團,光復校區
nycu,中國傳統醫學研究社,學術性社團,陽明校區
nycu,粵語文化研究社,學術性社團,陽明校區
nycu,口琴社,學藝性社團,陽明校區
nycu,熱門音樂社,學藝性社團,陽明校區；英文名 Rock music club
nycu,健身社,體能性社團,陽明校區
nycu,生物醫學工程學系學生會,學生自治組織,陽明校區
nycu,物理治療暨輔助科技學系系學會,學生自治組織,陽明校區
nycu,醫學生物技術暨檢驗學系學生會,學生自治組織,陽明校區
nycu,陽明分會,學生會,陽明校區
nycu,陽明分會選務委員會,學生會,陽明校區
nycu,陽明分會研究所代表大會,學生會,陽明校區
nycu,交通分會選舉委員會,學生會,光復校區
