club_name,category,year,source_url,notes
散打搏擊社,體能性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
羽球社,體能性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
射箭社,體能性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
嘻哈文化研究社,音樂戲劇性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
唱片騎師社,音樂戲劇性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
管弦樂團,音樂戲劇性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
烏克麗麗社,音樂戲劇性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
數位音樂創作社,音樂戲劇性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
風城吉他社,音樂戲劇性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
星聲社,音樂戲劇性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
國樂社,音樂戲劇性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
友聲合唱團,音樂戲劇性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
布袋戲社,音樂戲劇性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
臺南地區校友會,綜合性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
北區校友會,綜合性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
陸生聯誼會,任務性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
越南學生協會,任務性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
鋼琴社（交大校區）,音樂戲劇性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
壘球社,體能性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區；英文名 Softball Club
音樂遊戲社,康樂性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
象棋社,康樂性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
橋藝社(交大校區),康樂性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
中國傳統醫學研究社,學術性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區
粵語文化研究社,學術性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區
口琴社,學藝性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區
熱門音樂社,學藝性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區；英文名 Rock music club
登山社,體能性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區
健身社,體能性社團,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區
生物醫學工程學系學生會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區
物理治療暨輔助科技學系系學會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區
醫學生物技術暨檢驗學系學生會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區
藥學系系學會,學生自治組織,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區
陽明分會,學生會,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區
陽明分會選務委員會,學生會,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區
陽明分會研究所代表大會,學生會,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,陽明校區
交通分會選舉委員會,學生會,114,https://osa.nycu.edu.tw/osa/ch/app/data/list?module=nycu0101&id=3497,光復校區
